File.......:  600eis 664h - JAN,21.2015

System.....:  
Potential..:  0.000V
Current....:  11.86uA
Temperature:  -0.8+-0.1C
Time.......:  15:19:23 - 15:22:17
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   53
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      2.0000e+05       4.9571e+00        3.4760e-01        0.999           0.0
   2      1.5917e+05       4.9729e+00        2.0960e-01        0.999           1.0
   3      1.2668e+05       5.0111e+00        1.1447e-01        0.999           1.5
   4      1.0082e+05       5.0449e+00       -1.6156e-03        0.999           1.9
   5      8.0237e+04       5.0732e+00       -7.7175e-02        1.000           2.3
   6      6.3857e+04       5.1202e+00       -1.5661e-01        1.000           2.8
   7      5.0821e+04       5.1948e+00       -2.1812e-01        0.999           3.3
   8      4.0447e+04       5.2262e+00       -3.0173e-01        1.000           4.3
   9      3.2190e+04       5.3048e+00       -3.6483e-01        0.996           5.2
  10      2.5619e+04       5.3408e+00       -4.2803e-01        1.000           5.7
  11      2.0389e+04       5.4101e+00       -4.6739e-01        1.000           6.1
  12      1.6227e+04       5.4837e+00       -5.2484e-01        0.999           6.5
  13      1.2914e+04       5.5683e+00       -5.7054e-01        1.000           6.9
  14      1.0278e+04       5.6413e+00       -6.1281e-01        0.999           7.4
  15      8.1797e+03       5.7436e+00       -6.7250e-01        1.000           7.8
  16      6.5099e+03       5.8583e+00       -7.3085e-01        0.999           8.2
  17      5.1809e+03       5.9555e+00       -7.6991e-01        0.999           8.6
  18      4.1233e+03       6.0720e+00       -8.2788e-01        0.999           9.1
  19      3.2816e+03       6.1986e+00       -8.7952e-01        0.999           9.5
  20      2.6117e+03       6.3295e+00       -9.3250e-01        0.999           9.9
  21      2.0785e+03       6.4746e+00       -9.8398e-01        1.000          10.3
  22      1.6542e+03       6.6293e+00       -1.0109e+00        1.000          10.8
  23      1.3165e+03       6.7785e+00       -1.0753e+00        1.000          11.4
  24      1.0478e+03       6.9368e+00       -1.1407e+00        1.000          12.1
  25      8.3387e+02       7.1133e+00       -1.1679e+00        1.000          12.5
  26      6.6364e+02       7.2676e+00       -1.2065e+00        1.000          13.0
  27      5.2816e+02       7.4512e+00       -1.2514e+00        1.000          13.4
  28      4.2034e+02       7.6274e+00       -1.2892e+00        0.999          13.8
  29      3.3453e+02       7.8157e+00       -1.3350e+00        1.000          14.2
  30      2.6624e+02       8.0102e+00       -1.3698e+00        1.000          14.7
  31      2.1189e+02       8.2095e+00       -1.4052e+00        0.999          15.1
  32      1.6864e+02       8.4087e+00       -1.4525e+00        1.000          15.5
  33      1.3421e+02       8.6229e+00       -1.4916e+00        1.000          15.9
  34      1.0681e+02       8.8376e+00       -1.5316e+00        1.000          16.4
  35      8.5008e+01       9.0634e+00       -1.5705e+00        1.000          16.8
  36      6.7654e+01       9.2933e+00       -1.6130e+00        1.000          17.3
  37      5.3524e+01       9.5227e+00       -1.6463e+00        1.000          18.6
  38      4.1896e+01       9.7824e+00       -1.6752e+00        1.000          20.1
  39      3.2409e+01       1.0061e+01       -1.7047e+00        1.000          21.3
  40      2.4746e+01       1.0365e+01       -1.7201e+00        1.000          22.4
  41      1.8624e+01       1.0694e+01       -1.7200e+00        1.000          23.7
  42      1.3792e+01       1.1040e+01       -1.7005e+00        1.000          25.2
  43      1.0031e+01       1.1405e+01       -1.6403e+00        1.000          26.8
  44      7.1499e+00       1.1778e+01       -1.5309e+00        1.000          28.6
  45      4.9825e+00       1.2139e+01       -1.3626e+00        1.000          30.8
  46      3.3858e+00       1.2466e+01       -1.1453e+00        1.000          33.5
  47      2.2374e+00       1.2725e+01       -8.9368e-01        1.000          36.9
  48      1.4343e+00       1.2924e+01       -6.4426e-01        1.000          42.3
  49      8.9031e-01       1.3076e+01       -4.3449e-01        1.000          49.1
  50      5.3506e-01       1.3265e+01       -2.8518e-01        1.000          59.0
  51      3.1211e-01       1.3577e+01       -1.8286e-01        1.000          74.0
  52      1.7783e-01       1.3353e+01       -9.5571e-02        0.999          98.5
  53      1.0000e-01       1.3617e+01       -5.3556e-02        0.999         163.0

