,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,R/Ohm,0.032527,-0.01612,-0.05977,-0.092711,-0.12007,-0.14433,-0.16957,-0.19212,-0.2136,-0.23695,-0.2606,-0.28729,-0.31293000000000004,-0.33986,-0.36719,-0.39575,-0.42392,-0.45145,-0.479,-0.50637,-0.53333,-0.55977,-0.5837399999999999,-0.60543,-0.62533,-0.64069,-0.65165,-0.65575,-0.65554,-0.64588,-0.63205,-0.60577,-0.57843,-0.5421600000000001,-0.49679,-0.45043,-0.39974,-0.3442,-0.29475,-0.24369,-0.1934,-0.14989,-0.11555,-0.085336,impedance,6.3647,6.3944,6.4211,6.4491,6.4775,6.5068,6.5358,6.5654,6.5969,6.6302,6.6657,6.704,6.7472,6.7949,6.8466,6.9026,6.9629,7.0292,7.0994,7.1743,7.254,7.3387,7.4272,7.5217,7.6203,7.7237,7.8308,7.9408,8.0533,8.1658,8.2755,8.3826,8.4831,8.588,8.6865,8.7759,8.8578,8.9325,8.9978,9.0573,9.1086,9.1578,9.1993,9.2318
1,R/Ohm,0.043724,0.0019227,-0.035924,-0.068464,-0.097166,-0.12255,-0.14965,-0.17207,-0.1936,-0.21474,-0.23709,-0.26093,-0.28305,-0.30794,-0.33309,-0.35874,-0.38408,-0.40993,-0.43494,-0.45869,-0.48322,-0.505,-0.52577,-0.5452600000000001,-0.5645399999999999,-0.57584,-0.58058,-0.58049,-0.57102,-0.5533600000000001,-0.5319699999999999,-0.5010600000000001,-0.46412,-0.4271100000000001,-0.3837,-0.33488,-0.28309,-0.23441,-0.19343,-0.15077000000000002,-0.12194,-0.090706,-0.066416,-0.046789,impedance,6.2959,6.3126,6.3329,6.3547,6.3783,6.4025,6.4295,6.457999999999999,6.4878,6.5221,6.5607,6.6019,6.6464,6.6949,6.7462,6.8022,6.8629,6.9277,6.9959,7.0703,7.1493,7.2314,7.319,7.4114,7.5083,7.6089,7.7129,7.8165,7.9201,8.0233,8.121,8.2115,8.2964,8.373,8.4381,8.4914,8.526,8.5415,8.5403,8.5239,8.4951,8.4646,8.434,8.415
2,R/Ohm,0.37334,0.25725,0.16721,0.094509,0.031925,-0.017912,-0.052328,-0.085938,-0.11483,-0.13173,-0.15675999999999998,-0.18051,-0.20438,-0.22779,-0.25294,-0.2764,-0.29979,-0.32327,-0.34764,-0.37063,-0.39274,-0.4149600000000001,-0.4362,-0.45613,-0.47688,-0.49377,-0.50741,-0.5186,-0.52384,-0.52362,-0.51486,-0.50221,-0.4824,-0.45649,-0.42452,-0.39225,-0.35609,-0.31395,-0.27276,-0.23159,-0.1897,-0.15677,-0.12328,-0.09265,impedance,6.0422,6.0772,6.0927,6.1092,6.1372,6.1541,6.1856,6.207999999999999,6.2292,6.2627,6.2881,6.3157,6.3452,6.377000000000001,6.4108,6.4495,6.4913,6.537000000000001,6.5855,6.6385,6.6949,6.7555,6.8199,6.8885,6.9608,7.0371,7.1184,7.2027,7.2893,7.3786,7.4688,7.556,7.6415,7.7206,7.7956,7.8615,7.9269,7.9844,8.0342,8.0772,8.1141,8.1459,8.175,8.2005
3,R/Ohm,0.089157,0.026483,-0.019251,-0.05693400000000001,-0.091122,-0.11803,-0.15165,-0.17346,-0.19588,-0.21771,-0.24051,-0.26711,-0.28785,-0.31306,-0.3381,-0.36454,-0.3896,-0.41411,-0.4376,-0.46213,-0.48545,-0.5081100000000001,-0.52828,-0.54499,-0.56062,-0.56968,-0.57243,-0.56962,-0.56,-0.54272,-0.51983,-0.49098,-0.45891,-0.42075,-0.37584,-0.33301,-0.28882,-0.24146,-0.20166,-0.16214,-0.12614,-0.094088,-0.071893,-0.051624,impedance,6.4169,6.4401,6.4665,6.4915,6.5177,6.5395,6.5617,6.587000000000001,6.6145,6.6441,6.6751,6.7077,6.7445,6.7845,6.8277,6.8748,6.9273,6.9835,7.0443,7.1084,7.1770000000000005,7.2482,7.3241,7.4038,7.4885,7.5753,7.6662,7.7572,7.8481,7.9368,8.0215,8.1024,8.1756,8.2293,8.2867,8.3373,8.3816,8.4187,8.4461,8.4691,8.4862,8.5005,8.5185,8.5405
4,R/Ohm,0.34231,0.23482,0.14704,0.086551,0.027675,-0.017707,-0.055531,-0.083733,-0.11335,-0.14031,-0.16695,-0.18957,-0.2142,-0.23867,-0.26583,-0.29011,-0.31475,-0.34078,-0.36775,-0.39333,-0.4174100000000001,-0.44215,-0.46651,-0.48937,-0.5129600000000001,-0.53496,-0.55502,-0.5675399999999999,-0.5894699999999999,-0.6007899999999999,-0.61319,-0.61224,-0.60929,-0.60039,-0.5827100000000001,-0.56075,-0.53273,-0.4925,-0.44781,-0.39883,-0.34404,-0.2954,-0.24423000000000006,-0.19211,impedance,5.2882,5.3103,5.3334,5.3477,5.3805,5.3977,5.4238,5.4464,5.4712,5.495,5.5237,5.5539,5.5838,5.6179,5.6545,5.6952,5.7396,5.7885,5.8417,5.8983,5.9596,6.0234,6.093,6.1665,6.2431,6.3218,6.4084,6.5024,6.5905,6.6893,6.7976,6.905,7.007999999999999,7.1125,7.216,7.3154,7.4184,7.5153,7.6035,7.6849,7.7586,7.8235,7.881,7.9314
5,R/Ohm,0.019588,-0.030872000000000007,-0.07119099999999999,-0.10311,-0.13248,-0.15516,-0.18413,-0.20489,-0.22551,-0.2484,-0.27169,-0.29873,-0.32412,-0.35107,-0.37959,-0.40798,-0.43762,-0.46658,-0.49529,-0.52477,-0.55345,-0.58196,-0.6090899999999999,-0.63434,-0.6611,-0.68071,-0.6967899999999999,-0.70905,-0.71313,-0.71082,-0.70177,-0.68092,-0.65572,-0.6160100000000001,-0.5685899999999999,-0.51822,-0.46056,-0.39767,-0.33881999999999995,-0.28005,-0.22637,-0.17602,-0.13477999999999998,-0.099897,impedance,6.5428,6.5712,6.5963,6.6237,6.651,6.6764,6.7024,6.7295,6.7583,6.7886,6.8218,6.8576,6.8978,6.9425,6.9912,7.0447,7.1029,7.1662,7.2343,7.3073,7.3849,7.4676,7.5556,7.6482,7.7457,7.8491,7.9569,8.0697,8.1857,8.3039,8.4224,8.5364,8.6482,8.7508,8.8542,8.9491,9.0353,9.1124,9.1784,9.2363,9.2852,9.3313,9.3727,9.4168
6,R/Ohm,0.25233,0.15123,0.07817,0.007158700000000001,-0.042243,-0.084047,-0.1152,-0.14352,-0.16905,-0.19723,-0.21806,-0.23945,-0.2619,-0.28622,-0.31345,-0.3381,-0.36705,-0.39802,-0.42597,-0.45825,-0.49042,-0.52065,-0.55376,-0.58827,-0.61941,-0.65084,-0.68448,-0.72153,-0.7509600000000001,-0.77754,-0.80337,-0.8242700000000001,-0.8377700000000001,-0.84491,-0.8411700000000001,-0.83105,-0.80309,-0.7591899999999999,-0.70896,-0.6413399999999999,-0.5636399999999999,-0.48344,-0.40201,-0.32635,impedance,6.5759,6.6077,6.6458,6.6756,6.7136,6.7446,6.7789,6.8117,6.8454,6.877999999999999,6.9125,6.9496,6.9881,7.0274,7.0706,7.1192,7.1704,7.2267,7.2885,7.3546,7.426,7.5041,7.584,7.6703,7.7622,7.8586,7.9602,8.0659,8.1797,8.3,8.4253,8.5572,8.6953,8.8382,8.9828,9.1278,9.2772,9.4189,9.5592,9.6887,9.8027,9.8988,9.9737,10.026
7,R/Ohm,0.30299,0.19385,0.10134,0.029389,-0.030041,-0.072689,-0.11035,-0.13954,-0.17413,-0.19908,-0.22372,-0.25029,-0.26968000000000003,-0.29797,-0.32463000000000003,-0.35109,-0.38033,-0.41106,-0.44124,-0.47412,-0.5075,-0.53992,-0.5749,-0.6096600000000001,-0.6453800000000001,-0.68098,-0.71777,-0.75745,-0.79396,-0.8309700000000001,-0.86749,-0.9042,-0.93662,-0.96579,-0.98578,-0.99938,-0.99384,-0.97383,-0.93827,-0.87836,-0.7952899999999999,-0.69876,-0.5877399999999999,-0.47361,impedance,6.7363,6.7751,6.8031,6.8397,6.8703,6.9171,6.9437,6.979,7.0112,7.053999999999999,7.0856,7.1268,7.1643,7.2098,7.2514,7.2729,7.32,7.3715,7.428999999999999,7.4898,7.5562,7.6287,7.7047,7.7860000000000005,7.8735,7.9653,8.0626,8.1649,8.2738,8.3899,8.5131,8.6447,8.7849,8.935,9.0897,9.2525,9.4111,9.5874,9.77,9.951,10.123,10.276,10.406,10.508
8,R/Ohm,0.10331,0.049664,0.0048423,-0.035771,-0.070062,-0.10106,-0.13030999999999998,-0.15695,-0.18298,-0.20927,-0.23529,-0.26167,-0.28815,-0.31594,-0.34258,-0.36877,-0.39671,-0.42325,-0.44758,-0.47583,-0.50075,-0.5252600000000001,-0.5497,-0.57184,-0.5976199999999999,-0.61598,-0.6314,-0.64361,-0.64969,-0.6491600000000001,-0.64357,-0.6272,-0.60225,-0.57531,-0.52881,-0.47633,-0.41547,-0.35656,-0.29983000000000004,-0.24345,-0.19815,-0.15297,-0.11468,-0.083665,impedance,5.421,5.4364,5.4546,5.4756,5.4978,5.5219,5.5528,5.5809,5.6108,5.6456,5.6823,5.7232,5.7693,5.818,5.871,5.9288,5.9908,6.0571,6.129,6.2064,6.2869,6.3686,6.4555,6.5452,6.6396,6.7379999999999995,6.8424,6.9484,7.0591,7.1701,7.2803,7.3889,7.495,7.5915,7.6758,7.7462,7.8017,7.8416,7.8684,7.8829,7.8918,7.9015,7.9128,7.9309
