,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
R/Ohm,0.34817,0.23895999999999998,0.15128,0.073959,0.017628,-0.029143000000000002,-0.067554,-0.098317,-0.12662,-0.15502,-0.17855,-0.20179,-0.22498,-0.24898,-0.27559,-0.30126,-0.32671999999999995,-0.3537,-0.38084,-0.40776999999999997,-0.43438000000000004,-0.46071000000000006,-0.48633999999999994,-0.51181,-0.53691,-0.5596800000000001,-0.58004,-0.59883,-0.6113,-0.61998,-0.6228,-0.61842,-0.6075,-0.58808,-0.56289,-0.5333399999999999,-0.49688999999999994,-0.45233,-0.40755,-0.35815,-0.30664,-0.26058000000000003,-0.214,-0.16951,-0.12954000000000002,-0.098975,-0.071939,-0.049404,-0.032894,-0.02147,-0.013844,-0.011052,-0.0030464000000000003,,,
R/Ohm,0.099986,0.035563,-0.013498,-0.052382000000000005,-0.085239,-0.11575999999999999,-0.14506,-0.16872,-0.1928,-0.21594000000000002,-0.23939000000000002,-0.26516999999999996,-0.28945,-0.31382,-0.33974,-0.36678,-0.39189,-0.41673999999999994,-0.44111000000000006,-0.46566,-0.48878999999999995,-0.512,-0.53269,-0.5506,-0.56497,-0.57525,-0.57891,-0.57698,-0.5687300000000001,-0.55301,-0.5310600000000001,-0.50241,-0.47248999999999997,-0.43468,-0.3914,-0.34759,-0.30294,-0.25528,-0.21494000000000002,-0.17402,-0.1341,-0.10106,-0.07684500000000001,-0.055886,-0.037108999999999996,-0.023518999999999998,-0.016526,-0.010549,-0.004281,-0.0078063,,,,,,
R/Ohm,0.031329,-0.015609,-0.061348,-0.095358,-0.12695,-0.15078,-0.17255,-0.19493,-0.21727,-0.24111,-0.26611999999999997,-0.2926,-0.31951999999999997,-0.34679,-0.37525,-0.40474,-0.43395,-0.46301000000000003,-0.49303,-0.52099,-0.54929,-0.57745,-0.60409,-0.62936,-0.65184,-0.6713399999999999,-0.68734,-0.69505,-0.7005600000000001,-0.6967,-0.68515,-0.66083,-0.63446,-0.59663,-0.54908,-0.49662,-0.43887,-0.37671,-0.3204,-0.26195999999999997,-0.206,-0.15653,-0.1181,-0.087215,-0.056696,-0.037795,-0.025428,-0.019206,-0.012115,-0.0086958,,,,,,
R/Ohm,0.37463,0.25404,0.16968,0.11999000000000001,0.051553999999999996,-0.00035782,-0.045813,-0.080796,-0.11372,-0.14336,-0.17001,-0.19405,-0.21836999999999998,-0.24401,-0.27111,-0.29694,-0.32315,-0.35013,-0.3774,-0.40446,-0.43101999999999996,-0.45838,-0.48286999999999997,-0.5085,-0.53246,-0.5556399999999999,-0.57657,-0.5939800000000001,-0.60712,-0.61463,-0.61569,-0.61159,-0.59812,-0.57953,-0.55145,-0.5213300000000001,-0.48263999999999996,-0.43722,-0.39102,-0.34254,-0.29034,-0.24634,-0.20038,-0.15647,-0.11947999999999999,-0.09056499999999999,-0.065897,-0.044389,-0.028644,-0.019965,-0.014427,-0.006268899999999999,-0.011027,,,
R/Ohm,0.38866999999999996,0.27686,0.16716,0.090132,0.027748000000000002,-0.022872999999999998,-0.056947000000000005,-0.089771,-0.11993,-0.14339000000000002,-0.16807,-0.19186,-0.21565,-0.24023000000000003,-0.26641,-0.28997,-0.31599,-0.34217,-0.36819,-0.39463000000000004,-0.42039,-0.4448,-0.47028000000000003,-0.49433999999999995,-0.51898,-0.54035,-0.56008,-0.5785899999999999,-0.5893,-0.59555,-0.59792,-0.59108,-0.5763199999999999,-0.5562699999999999,-0.52928,-0.49992,-0.46126000000000006,-0.4185,-0.37524,-0.32898,-0.28062,-0.23631999999999997,-0.19397,-0.15475,-0.11821,-0.09046599999999999,-0.06552899999999999,-0.044261,-0.027699,-0.017572,-0.010447,-0.0099978,-0.0008037,,,
R/Ohm,0.090659,0.026789,-0.025343,-0.06905499999999999,-0.10393,-0.1345,-0.16797,-0.19278,-0.21702,-0.24189000000000002,-0.26753000000000005,-0.29618,-0.32253000000000004,-0.35098,-0.38071,-0.40867,-0.43955,-0.4698,-0.4987,-0.52958,-0.55978,-0.5894699999999999,-0.61832,-0.6463800000000001,-0.67599,-0.6987899999999999,-0.7191,-0.73487,-0.74547,-0.7472300000000001,-0.74157,-0.72636,-0.7047399999999999,-0.66496,-0.6200899999999999,-0.5677300000000001,-0.5061899999999999,-0.43923,-0.3737,-0.3091,-0.25133,-0.19510999999999998,-0.14955,-0.10997,-0.076839,-0.051313,-0.034257,-0.020834000000000002,-0.016402,-0.003959000000000001,,,,,,
R/Ohm,0.018359999999999998,-0.033129,-0.067773,-0.10029,-0.12616,-0.15267,-0.16389,-0.18549000000000002,-0.20714000000000002,-0.22943000000000002,-0.2528,-0.27867,-0.30289,-0.32847,-0.35505,-0.38216999999999995,-0.40883,-0.43492,-0.46098,-0.4868,-0.51161,-0.5365,-0.5586300000000001,-0.57881,-0.5971,-0.60985,-0.61788,-0.62055,-0.61573,-0.60272,-0.58525,-0.55775,-0.52828,-0.49153,-0.44714,-0.40131,-0.35406,-0.30238000000000004,-0.2571,-0.21103000000000002,-0.16671,-0.12764,-0.097454,-0.071217,-0.049343,-0.031836,-0.020394,-0.012648000000000001,-0.010927,-0.00042498,,,,,,
R/Ohm,0.24313,0.14357999999999999,0.068965,-0.0004265,-0.049569,-0.091826,-0.12389000000000001,-0.15058,-0.17519,-0.203,-0.22396999999999997,-0.24473000000000003,-0.26783,-0.29191,-0.31942,-0.34507,-0.37351999999999996,-0.40403,-0.43503000000000003,-0.46668999999999994,-0.49918,-0.5320199999999999,-0.56397,-0.5955699999999999,-0.6308,-0.66304,-0.6952,-0.72846,-0.7590899999999999,-0.78645,-0.81121,-0.83294,-0.8467899999999999,-0.85459,-0.85015,-0.84009,-0.81553,-0.7762899999999999,-0.72524,-0.6600699999999999,-0.58111,-0.50326,-0.41958,-0.33466999999999997,-0.25928,-0.19696,-0.14343,-0.096638,-0.061648,-0.041286,-0.027246,-0.019555,-0.0084495,,,
R/Ohm,-0.15168,-0.12136,-0.10375,-0.067359,-0.063283,-0.13408,-0.1321,-0.13151,-0.1723,-0.1715,-0.16354000000000002,-0.19205999999999998,-0.19959000000000002,-0.21366,-0.2288,-0.24829,-0.25865,-0.28667,-0.30838000000000004,-0.32733,-0.35491,-0.37942,-0.40208,-0.42441999999999996,-0.45203000000000004,-0.47893,-0.5052800000000001,-0.52718,-0.54878,-0.5704,-0.58803,-0.60238,-0.60728,-0.6129899999999999,-0.59937,-0.59518,-0.58244,-0.55167,-0.5169699999999999,-0.49115,-0.44068999999999997,-0.39094,-0.34344,-0.29159,-0.245,-0.1996,-0.15545,-0.11755,-0.088184,-0.063572,-0.042679,-0.025221,-0.016602000000000002,-0.011371,-0.0072583,-0.005186100000000001
R/Ohm,0.38365,0.25640999999999997,0.16922,0.0885,0.027762000000000002,-0.020344,-0.06116799999999999,-0.09483899999999999,-0.12293,-0.15211,-0.17678,-0.20063,-0.22445,-0.24952,-0.27619,-0.30219,-0.32869,-0.35603,-0.38389,-0.41138,-0.43864,-0.4651,-0.49196999999999996,-0.5178,-0.5431199999999999,-0.56623,-0.5874,-0.60652,-0.62012,-0.6292399999999999,-0.632,-0.62978,-0.61783,-0.60128,-0.57549,-0.54689,-0.5092399999999999,-0.46808,-0.42148,-0.3728,-0.32016,-0.2731,-0.22513000000000002,-0.17970999999999998,-0.13798,-0.10637,-0.077461,-0.051739,-0.033395,-0.021656,-0.014500999999999998,-0.013316,-0.001355,,,
R/Ohm,0.35686,0.24509,0.15509,0.075075,0.016858,-0.031713,-0.06895,-0.1014,-0.12828,-0.15752,-0.1815,-0.20452,-0.22851999999999997,-0.25281,-0.27989,-0.30558,-0.33223,-0.35951,-0.38725,-0.41508999999999996,-0.44285,-0.46965,-0.49676000000000003,-0.52285,-0.54897,-0.57262,-0.59442,-0.61423,-0.62941,-0.63948,-0.64348,-0.6421899999999999,-0.63208,-0.61631,-0.59026,-0.56186,-0.52533,-0.47889,-0.43218999999999996,-0.38101,-0.32756,-0.27857,-0.2285,-0.18148,-0.14018,-0.10743,-0.079105,-0.053144000000000004,-0.035887,-0.02277,-0.013913,-0.012277,-0.0026347,,,
R/Ohm,0.38715,0.26193,0.16410999999999998,0.072781,0.0072024,-0.045111,-0.087864,-0.12479000000000001,-0.15382,-0.18385,-0.21033000000000002,-0.23405,-0.26016,-0.28565,-0.31494,-0.34199,-0.37146999999999997,-0.40287,-0.4352,-0.4683,-0.49955,-0.5363100000000001,-0.5673699999999999,-0.59832,-0.6361399999999999,-0.66799,-0.70116,-0.73795,-0.7679600000000001,-0.79828,-0.8275600000000001,-0.85182,-0.86872,-0.8799799999999999,-0.88015,-0.8741200000000001,-0.85319,-0.81652,-0.76636,-0.69792,-0.6175,-0.5342399999999999,-0.44296,-0.35629,-0.27626999999999996,-0.20856,-0.15197,-0.10248,-0.065511,-0.042193,-0.02791,-0.019882,-0.0099128,,,
R/Ohm,0.063826,0.010392,-0.031564999999999996,-0.069498,-0.099271,-0.1249,-0.14476,-0.16888,-0.19077,-0.21352,-0.2365,-0.26179,-0.28439000000000003,-0.30846999999999997,-0.33361999999999997,-0.35824,-0.38301,-0.40744,-0.43125,-0.45498,-0.47873999999999994,-0.50193,-0.52278,-0.54088,-0.55834,-0.5687300000000001,-0.57343,-0.57182,-0.56357,-0.54773,-0.5271899999999999,-0.49628999999999995,-0.46481000000000006,-0.42599,-0.38153000000000004,-0.33828,-0.29265,-0.24555,-0.20479,-0.16441,-0.12866,-0.096427,-0.07359700000000001,-0.05284199999999999,-0.035426,-0.021736000000000002,-0.013933000000000001,-0.008808400000000001,-0.009329500000000001,-0.007340300000000001,,,,,,
