,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
impedance,4.2414,4.2538,4.2649,4.2831,4.3007,4.3199,4.337,4.3615,4.3881,4.4177,4.4492,4.4838,4.5246,4.5693,4.6171,4.67,4.7276,4.7888,4.8534,4.9221,4.9927,5.0658,5.1412,5.2187,5.298,5.376,5.4556,5.532,5.6101,5.6842,5.7569,5.8212,5.8814,5.9266,5.9758,6.0201,6.0563,6.09,6.115,6.1396,6.1595,6.1738,6.1888,6.206,6.2208,6.2522,6.3171,6.3312,6.2195,6.2997
impedance,3.8961,3.9059,3.9207,3.9374,3.9522,3.9723,3.9911,4.0125,4.0382,4.0666,4.0963,4.1277,4.1667,4.2065,4.2535,4.3024,4.355,4.413,4.4718,4.5362,4.6026,4.6706,4.7404,4.8124,4.8849,4.9565,5.0266,5.0976,5.1615,5.2222,5.2781,5.3294,5.3731,5.4066,5.4414,5.469,5.4943,5.513,5.5287,5.5408,5.5469,5.5489,5.5432,5.537,5.5299,5.5249,5.5426,5.5773,5.6186,5.5153
impedance,3.7029,3.713,3.7191,3.7357,3.7441,3.7603,3.7718,3.7903,3.8097,3.8328,3.859,3.8858,3.9168,3.953,3.9885,4.0317,4.0778,4.1288,4.1805,4.238,4.2971,4.3596,4.4212,4.4848,4.5486,4.6071,4.6662,4.719,4.7687,4.812,4.8521,4.8863,4.9155,4.9329,4.9543,4.9734,4.9877,5.0024,5.0129,5.0236,5.0313,5.0377,5.0438,5.0519,5.0624,5.0831,5.1288,5.1622,5.094,
impedance,3.5547,3.5722,3.5918,3.6168,3.6487,3.688,3.7378,3.8004,3.8746,3.9644,4.0654,4.1741,4.2875,4.394,4.498,4.5768,4.6446,4.6909,4.7319,4.7611,4.783,4.8008,4.8107,4.8185,4.8279,4.8424,4.8877,4.9296,4.8549,4.9119,,,,,,,,,,,,,,,,,,,,
impedance,3.6205,3.6266,3.6346,3.6443,3.6541,3.6664,3.6798,3.6953,3.7137,3.7342,3.7573,3.7826,3.812,3.844,3.8808,3.92,3.9639,4.0127,4.0634,4.1176,4.175,4.2332,4.2935,4.3536,4.4128,4.4705,4.5252,4.5772,4.623,4.6643,4.7025,4.7349,4.7604,4.7767,4.7987,4.8171,4.8328,4.8465,4.8592,4.8717,4.8814,4.8906,4.9018,4.9104,4.9251,4.9537,4.9999,5.0075,4.9274,4.9925
impedance,4.4965,4.5049,4.516,4.5245,4.542,4.5557,4.5706,4.589,4.6127,4.6374,4.6649,4.6962,4.7324,4.7719,4.8178,4.8674,4.9218,4.9807,5.0406,5.1074,5.1766,5.2488,5.3226,5.3991,5.4766,5.5551,5.6335,5.708,5.7854,5.8562,5.9217,5.98,6.0327,6.0781,6.1216,6.1557,6.1892,6.2136,6.2312,6.2502,6.2593,6.2696,6.2741,6.2664,6.2457,6.2067,6.1606,6.1285,6.2137,6.1735
impedance,4.1511,4.1631,4.1762,4.1917,4.2128,4.2316,4.2532,4.2785,4.3069,4.3375,4.3711,4.4078,4.449,4.4949,4.5446,4.5994,4.6583,4.7205,4.7875,4.8561,4.93,5.0035,5.0809,5.1611,5.2408,5.3206,5.4011,5.4825,5.56,5.6367,5.7101,5.7766,5.8416,5.8984,5.9556,6.0072,6.0531,6.0926,6.1255,6.1592,6.1875,6.218,6.2441,6.2685,6.2866,6.2942,6.2648,6.1959,6.2285,6.2788
impedance,3.4695,3.4765,3.4839,3.4955,3.5094,3.5232,3.5382,3.5563,3.5771,3.6012,3.628,3.6572,3.6916,3.7285,3.769,3.8133,3.8605,3.9102,3.9617,4.016,4.0703,4.1256,4.1795,4.234,4.2862,4.3354,4.3811,4.423,4.4596,4.492,4.5199,4.5449,4.5623,4.5723,4.5829,4.5908,4.5963,4.6011,4.6012,4.6,4.5963,4.5909,4.5836,4.5747,4.5702,4.5728,,,,
impedance,3.8598,3.8637,3.8775,3.89,3.91,3.9197,3.9373,3.955,3.9778,4.0015,4.0282,4.0563,4.0899,4.1264,4.1664,4.2115,4.2593,4.3118,4.3679,4.4266,4.488,4.552,4.6173,4.6828,4.7498,4.8134,4.8763,4.9367,4.9915,5.0422,5.0876,5.1287,5.1642,5.1827,5.2101,5.2329,5.2518,5.2685,5.2813,5.2954,5.3052,5.3132,5.3221,5.3296,5.3411,5.3678,5.4183,5.4482,5.3598,5.3994
impedance,3.7248,3.7358,3.7444,3.7575,3.7725,3.7888,3.8059,3.8263,3.849,3.8736,3.901,3.932,3.9665,4.0047,4.0468,4.0921,4.1419,4.1963,4.2526,4.3128,4.3766,4.4427,4.509,4.5762,4.6442,4.7111,4.7749,4.8384,4.8954,4.9476,4.9974,5.0392,5.0768,5.1091,5.1437,5.1725,5.202,5.2263,5.2481,5.2702,5.2869,5.3061,5.325,5.341,5.3576,5.3646,5.3469,5.2865,5.2958,5.3408
