,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
R/Ohm,0.3252,0.1547,0.073283,-0.04732,-0.12047999999999999,-0.17804,-0.25759,-0.33586,-0.3789,-0.42898000000000003,-0.48573999999999995,-0.5373600000000001,-0.59255,-0.637,-0.68633,-0.74305,-0.7941199999999999,-0.84759,-0.9017700000000001,-0.9515,-0.9948100000000001,-1.0367,-1.0873,-1.1349,-1.1823,-1.22,-1.2578,-1.2917,-1.3263,-1.3676,-1.3993,-1.4371,-1.4714,-1.5023,-1.5273,-1.5531,-1.5651,-1.5685,-1.5622,-1.541,-1.4961,-1.4266,-1.3217,-1.1759,-0.9949600000000001,-0.79479,-0.5966899999999999,-0.41689,-0.27728,-0.18295,-0.11531,-0.058322000000000006,-0.047399000000000004
R/Ohm,0.34636,0.21161999999999997,0.09990800000000001,0.0017617000000000002,-0.082829,-0.15802,-0.22610999999999998,-0.28886999999999996,-0.34642,-0.40467,-0.45783999999999997,-0.50843,-0.55908,-0.61029,-0.66235,-0.71181,-0.76413,-0.8153699999999999,-0.8661,-0.9308799999999999,-0.9834200000000001,-1.0182,-1.0736,-1.1233,-1.1634,-1.1977,-1.2383,-1.2775,-1.3132,-1.3498,-1.3856,-1.4224,-1.4506,-1.4813,-1.51,-1.5359,-1.5532,-1.553,-1.5525,-1.5319,-1.4906,-1.4302,-1.332,-1.1929,-1.0144,-0.8164600000000001,-0.6129,-0.42555,-0.27801,-0.179,-0.11399000000000001,-0.060809,-0.045607
R/Ohm,0.3246,0.17346,0.029198,-0.049483,-0.09552000000000001,-0.17615999999999998,-0.25366,-0.30337,-0.38436,-0.43878,-0.47576999999999997,-0.52369,-0.57248,-0.61905,-0.67571,-0.7094600000000001,-0.77669,-0.83006,-0.8820399999999999,-0.93753,-0.98462,-1.0568,-1.0781,-1.1146,-1.1586,-1.2159,-1.2525,-1.308,-1.3487,-1.3856,-1.4284,-1.4689,-1.5109,-1.5696,-1.5993,-1.6492,-1.666,-1.7382,-1.765,-1.7915,-1.8048,-1.8045,-1.7693,-1.6821,-1.5283,-1.3075,-1.0338,-0.74757,-0.50239,-0.32656999999999997,-0.21026,-0.11867,-0.083246
R/Ohm,0.4095,0.26516999999999996,0.14786,0.042327,-0.046093,-0.11997999999999999,-0.19392,-0.25116,-0.3084,-0.36423,-0.41355,-0.4616,-0.50667,-0.5524,-0.59946,-0.6428699999999999,-0.6872199999999999,-0.73123,-0.7753899999999999,-0.81584,-0.8558,-0.8932100000000001,-0.92865,-0.96405,-0.99769,-1.0292,-1.0568,-1.0861,-1.1119,-1.136,-1.1572,-1.1756,-1.1895,-1.1985,-1.2006,-1.1976,-1.185,-1.1581,-1.12,-1.0653,-0.9910899999999999,-0.9016799999999999,-0.7935800000000001,-0.66837,-0.53608,-0.41315,-0.30115,-0.20651,-0.13295,-0.078731,-0.047104,-0.033014999999999996,-0.011838
R/Ohm,0.3476,0.2096,0.11447,-0.0016155999999999998,-0.077175,-0.15661,-0.21811999999999998,-0.30173,-0.36483000000000004,-0.42803,-0.46738999999999997,-0.52484,-0.5705399999999999,-0.6128100000000001,-0.6725,-0.73085,-0.76991,-0.82788,-0.8795200000000001,-0.9325,-0.98398,-1.0109,-1.0753,-1.1407,-1.1679,-1.2065,-1.2514,-1.2892,-1.335,-1.3698,-1.4052,-1.4525,-1.4916,-1.5316,-1.5705,-1.613,-1.6463,-1.6752,-1.7047,-1.7201,-1.72,-1.7005,-1.6403,-1.5309,-1.3626,-1.1453,-0.8936799999999999,-0.64426,-0.43449,-0.28518000000000004,-0.18286,-0.095571,-0.05355599999999999
R/Ohm,0.26828,0.14379,0.049297,-0.038988,-0.11394000000000001,-0.19017,-0.25554,-0.31756,-0.3709,-0.42845,-0.48503,-0.53298,-0.5826,-0.63785,-0.6762,-0.73064,-0.7880199999999999,-0.84015,-0.8900399999999999,-0.9410799999999999,-0.98908,-1.0397,-1.083,-1.1291,-1.1693,-1.2106,-1.2528,-1.2918,-1.3285,-1.3676,-1.4004,-1.4398,-1.48,-1.5146,-1.5461,-1.5777,-1.5971,-1.612,-1.6207,-1.6147,-1.5878,-1.5406,-1.4537,-1.3213,-1.1472,-0.94039,-0.71715,-0.50469,-0.33768000000000004,-0.21831,-0.14325,-0.07378,-0.056309000000000005
R/Ohm,0.45046,0.26611,0.14556,0.041568,-0.047024,-0.12322999999999999,-0.19118,-0.2566,-0.31190999999999997,-0.36922,-0.41908999999999996,-0.46952,-0.51682,-0.56388,-0.61185,-0.65713,-0.70428,-0.75041,-0.7941,-0.8386600000000001,-0.87856,-0.9171600000000001,-0.95457,-0.9887600000000001,-1.0258,-1.056,-1.0848,-1.116,-1.1434,-1.1689,-1.1936,-1.2159,-1.2328,-1.2472,-1.2536,-1.2562,-1.2473,-1.2252,-1.1935,-1.1426,-1.0711,-0.98274,-0.8721899999999999,-0.73847,-0.59725,-0.46043,-0.33431,-0.23056,-0.15283,-0.097626,-0.054532000000000004,-0.036295,-0.012468
R/Ohm,0.285,0.16608,0.066277,-0.026369999999999998,-0.10446,-0.17351,-0.23829,-0.29778000000000004,-0.35238,-0.40696,-0.45643999999999996,-0.50653,-0.55411,-0.60245,-0.6524800000000001,-0.7014,-0.75084,-0.79989,-0.84826,-0.89565,-0.9416,-0.98569,-1.0281,-1.0688,-1.1098,-1.1474,-1.1846,-1.2212,-1.2565,-1.2911,-1.3247,-1.3579,-1.388,-1.4172,-1.4412,-1.4625,-1.4778,-1.4815,-1.4758,-1.4524,-1.4056,-1.3392,-1.2374,-1.098,-0.92986,-0.74543,-0.56161,-0.39178,-0.25914,-0.15735,-0.088548,-0.060275999999999996,-0.024212
R/Ohm,0.35069,0.21794000000000002,0.11487,0.020284,-0.06472,-0.13502,-0.20252,-0.26131,-0.31461,-0.36633000000000004,-0.41448,-0.45988999999999997,-0.5053,-0.54981,-0.5935,-0.63643,-0.67733,-0.7196100000000001,-0.76121,-0.7994600000000001,-0.836,-0.8707,-0.9037299999999999,-0.9356899999999999,-0.96516,-0.99215,-1.0188,-1.0419,-1.0647,-1.0841,-1.0992,-1.1109,-1.1176,-1.1168,-1.1081,-1.0921,-1.065,-1.0206,-0.9641700000000001,-0.89123,-0.80087,-0.7025399999999999,-0.59339,-0.47935,-0.37234,-0.27924,-0.19879000000000002,-0.13338,-0.08618300000000001,-0.052278,-0.029958999999999996,-0.024291,-0.0063736999999999995
R/Ohm,0.39050999999999997,0.24982,0.12763,0.023119,-0.067768,-0.14894000000000002,-0.21984,-0.28556,-0.34691,-0.40702,-0.46181000000000005,-0.51436,-0.56862,-0.62141,-0.67628,-0.7296,-0.78437,-0.8391,-0.8932399999999999,-0.94745,-1.0004,-1.0509,-1.1006,-1.1481,-1.1957,-1.2408,-1.2851,-1.3305,-1.375,-1.4184,-1.4633,-1.511,-1.5583,-1.6081,-1.6539,-1.7084,-1.7361,-1.8102,-1.8601,-1.8936,-1.934,-1.9629,-1.9583,-1.9121,-1.7979,-1.6072,-1.3363,-1.0145,-0.70104,-0.44409,-0.25902,-0.16064,-0.081005
R/Ohm,0.31766,0.19091,0.084605,-0.011071,-0.091197,-0.16439,-0.23038000000000003,-0.29031,-0.34604,-0.40193,-0.45315,-0.50351,-0.5532,-0.60401,-0.65618,-0.70795,-0.75995,-0.81239,-0.86426,-0.91546,-0.96499,-1.0131,-1.0593,-1.104,-1.1486,-1.1909,-1.233,-1.2751,-1.3167,-1.3579,-1.4015,-1.4441,-1.4887,-1.5335,-1.58,-1.628,-1.6743,-1.7196,-1.764,-1.8071,-1.8352,-1.8543,-1.8437,-1.7841,-1.6624,-1.4681,-1.2055,-0.90933,-0.6353,-0.40841,-0.23271999999999998,-0.13832,-0.08409900000000001
R/Ohm,0.24741,0.14090999999999998,0.040763,-0.045154,-0.13716,-0.19029000000000001,-0.26621999999999996,-0.34565999999999997,-0.40551,-0.43759,-0.50718,-0.53292,-0.58582,-0.65087,-0.70085,-0.74748,-0.80618,-0.86315,-0.9200299999999999,-0.9703200000000001,-1.0237,-1.0624,-1.1274,-1.1613,-1.2308,-1.2788,-1.3167,-1.3596,-1.4025,-1.4548,-1.5073,-1.5662,-1.6023,-1.6582,-1.7037,-1.7643,-1.8618,-1.8717,-1.9306,-1.991,-2.0333,-2.0747,-2.0805,-2.0314,-1.9189,-1.7181,-1.4292,-1.0769,-0.74431,-0.48821000000000003,-0.31458,-0.18348,-0.10885
R/Ohm,0.41071,0.26334,0.14315,0.033222,-0.057742999999999996,-0.1396,-0.2126,-0.27794,-0.33914,-0.39814,-0.45233999999999996,-0.50375,-0.55672,-0.60287,-0.65649,-0.71165,-0.7638699999999999,-0.81587,-0.86946,-0.92069,-0.97034,-1.0192,-1.0664,-1.1117,-1.1576,-1.2004,-1.2421,-1.2832,-1.3235,-1.3665,-1.4073,-1.4509,-1.4942,-1.5385,-1.5836,-1.6302,-1.6763,-1.7173,-1.7596,-1.7975,-1.8232,-1.8395,-1.8228,-1.757,-1.6308,-1.4364,-1.1777,-0.88965,-0.6229600000000001,-0.3958,-0.22754000000000002,-0.14922,-0.073753
R/Ohm,0.28024,0.16427999999999998,0.063887,-0.027366,-0.10539000000000001,-0.17513,-0.24019000000000001,-0.29894,-0.35443,-0.40721999999999997,-0.45847,-0.5088600000000001,-0.55903,-0.6093,-0.66163,-0.71437,-0.7664,-0.8194,-0.8731700000000001,-0.92517,-0.9752700000000001,-1.0246,-1.0722,-1.118,-1.1636,-1.2072,-1.2495,-1.2916,-1.3332,-1.3755,-1.4174,-1.4639,-1.5093,-1.5539,-1.6007,-1.6505,-1.7038,-1.7481,-1.7967,-1.8426,-1.8756,-1.9038,-1.898,-1.845,-1.7302,-1.5428,-1.2802,-0.9730700000000001,-0.67772,-0.42946000000000006,-0.2468,-0.15092,-0.079016
R/Ohm,0.25945999999999997,0.13990999999999998,0.043754,-0.045293,-0.11952,-0.19493,-0.2548,-0.31322,-0.36709,-0.42548,-0.47945,-0.5350600000000001,-0.57765,-0.63339,-0.6814100000000001,-0.73183,-0.78271,-0.83641,-0.89512,-0.9466899999999999,-0.99679,-1.0443,-1.0987,-1.1574,-1.1992,-1.2449,-1.2877,-1.3357,-1.3813,-1.4252,-1.477,-1.5197,-1.5745,-1.6246,-1.6868,-1.7289,-1.85,-1.8616,-1.9083,-1.982,-2.0299,-2.0851,-2.1099,-2.0841,-1.9962,-1.8164,-1.5317,-1.1622,-0.79448,-0.50063,-0.30771,-0.19779000000000002,-0.10057999999999999
R/Ohm,0.34531999999999996,0.21279,0.10228,0.0019254,-0.082847,-0.15753,-0.22493000000000002,-0.28901,-0.34544,-0.40288,-0.45451,-0.50479,-0.5545899999999999,-0.60478,-0.65605,-0.7069,-0.75767,-0.80884,-0.8581799999999999,-0.9082399999999999,-0.9566100000000001,-1.0026,-1.0483,-1.0926,-1.1346,-1.1751,-1.2156,-1.2566,-1.2951,-1.3338,-1.3732,-1.4114,-1.4469,-1.4851,-1.5191,-1.5538,-1.5813,-1.6039,-1.6223,-1.628,-1.6167,-1.5843,-1.5174,-1.4043,-1.242,-1.0415,-0.81442,-0.59149,-0.39371999999999996,-0.24295,-0.1365,-0.08609,-0.041148000000000004
