,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
R/Ohm,0.34875,0.20490999999999998,0.089153,-0.020447,-0.1087,-0.18552000000000002,-0.27394,-0.32555,-0.40131,-0.46257,-0.52579,-0.5764600000000001,-0.6191,-0.6696,-0.72077,-0.75651,-0.79745,-0.8402700000000001,-0.872,-0.9083600000000001,-0.9429700000000001,-0.9826299999999999,-1.0115,-1.0413,-1.0807,-1.1198,-1.1626,-1.2103,-1.2573,-1.3016,-1.3504,-1.4042,-1.4655,-1.5274,-1.5883,-1.6599,-1.7254,-1.8006,-1.8855,-1.9679,-2.0459,-2.1104,-2.1413,-2.111,-1.9883,-1.7508,-1.3985,-0.9950100000000001,-0.6703399999999999,-0.40719,-0.26750999999999997,-0.15386,-0.09614500000000001
R/Ohm,0.23449,0.10933,0.017283,-0.065106,-0.17699,-0.21523,-0.2918,-0.32999,-0.41163,-0.46981999999999996,-0.51966,-0.57704,-0.61892,-0.66614,-0.70655,-0.74885,-0.78779,-0.8176899999999999,-0.8534700000000001,-0.88726,-0.9183,-0.9517200000000001,-0.98555,-1.0217,-1.0599,-1.0978,-1.1374,-1.1789,-1.2234,-1.2703,-1.3172,-1.3726,-1.4264,-1.4893,-1.5483,-1.6182,-1.684,-1.754,-1.8309,-1.9073,-1.9752,-2.0234,-2.0489,-2.0061,-1.8753,-1.6383,-1.3133,-0.96246,-0.55803,-0.42904,-0.26726,-0.14238,-0.094598
R/Ohm,-2.3007,-0.10735,-0.19033,-0.23879,-0.30704000000000004,-0.34557,-0.39214,-0.42033999999999994,-0.47923000000000004,-0.53237,-0.57212,-0.62143,-0.66157,-0.70318,-0.74158,-0.78691,-0.81209,-0.8563,-0.8825200000000001,-0.9029299999999999,-0.9358799999999999,-0.95804,-1.0058,-1.0438,-1.0528,-1.092,-1.1397,-1.1965,-1.2471,-1.2944,-1.3661,-1.4025,-1.4834,-1.5499,-1.6069,-1.6974,-1.8768,-1.8009,-1.8908,-1.9807,-2.0722,-2.1516,-2.1968,-2.1762,-2.0634,-1.8286,-1.475,-1.0643,-0.6987800000000001,-0.43401999999999996,-0.28003,-0.16852,-0.088746
R/Ohm,0.24375,0.12469000000000001,0.019696,-0.074861,-0.15181,-0.23883000000000001,-0.3003,-0.367,-0.42266000000000004,-0.48378000000000004,-0.53738,-0.5865100000000001,-0.63561,-0.6781,-0.7169800000000001,-0.7562399999999999,-0.79097,-0.8270299999999999,-0.8593,-0.89144,-0.92163,-0.95232,-0.9883799999999999,-1.0168,-1.057,-1.0971,-1.1422,-1.1856,-1.2305,-1.2739,-1.3255,-1.3744,-1.4301,-1.4808,-1.5455,-1.6007,-1.6859,-1.6906,-1.75,-1.7943,-1.8146,-1.8144,-1.7654,-1.6525,-1.4616,-1.2014,-0.9054700000000001,-0.62085,-0.39829000000000003,-0.24495,-0.1535,-0.097358,-0.053935000000000004
R/Ohm,0.35531,0.21784,0.090718,-0.009447,-0.098189,-0.18295999999999998,-0.25771,-0.32543,-0.39143,-0.4457,-0.51131,-0.56742,-0.61059,-0.65222,-0.69712,-0.7297899999999999,-0.76983,-0.8015399999999999,-0.83041,-0.86124,-0.892,-0.92305,-0.9537100000000001,-0.98398,-1.0204,-1.0541,-1.0896,-1.1288,-1.1679,-1.2086,-1.2536,-1.2982,-1.3442,-1.394,-1.4417,-1.4927,-1.539,-1.5818,-1.621,-1.6462,-1.649,-1.6289,-1.5625,-1.4375,-1.2469,-1.0105,-0.75917,-0.52727,-0.34819,-0.22616,-0.14278,-0.07381900000000001,-0.051959000000000005
R/Ohm,0.28572,0.16235,0.054948000000000004,-0.048317,-0.11565999999999999,-0.21377,-0.28531,-0.33907,-0.40609,-0.47412,-0.53023,-0.58036,-0.63057,-0.67889,-0.71755,-0.76837,-0.79709,-0.83541,-0.87084,-0.9022100000000001,-0.93568,-0.9746,-1.0073,-1.0509,-1.0742,-1.1165,-1.1624,-1.2044,-1.2559,-1.2928,-1.3539,-1.4139,-1.4527,-1.5163,-1.6004,-1.6519,-1.6407,-1.8006,-1.9051,-1.9848,-2.0737,-2.1548,-2.2031,-2.1812,-2.0634,-1.8279,-1.4784,-1.078,-0.72487,-0.45787,-0.29004,-0.16706,-0.09502000000000001
R/Ohm,0.27325,0.14912999999999998,0.027239,-0.056499,-0.13210999999999998,-0.21814,-0.28423000000000004,-0.35253,-0.4056,-0.47008,-0.52494,-0.5705,-0.61843,-0.66076,-0.6995600000000001,-0.7316199999999999,-0.76321,-0.80083,-0.8295799999999999,-0.8594200000000001,-0.88913,-0.9181600000000001,-0.95547,-0.98215,-1.0199,-1.0582,-1.0939,-1.1324,-1.1725,-1.2107,-1.2508,-1.2908,-1.331,-1.3676,-1.4048,-1.4365,-1.454,-1.4672,-1.4675,-1.4472,-1.3995,-1.3243,-1.2026,-1.0346,-0.8449700000000001,-0.64332,-0.45758000000000004,-0.27557,-0.18203,-0.12087,-0.078136,-0.039120999999999996,-0.029445999999999996
R/Ohm,0.25489,0.14447000000000002,0.043276,-0.044781,-0.1224,-0.1872,-0.25187,-0.30849,-0.36222,-0.41357,-0.45903999999999995,-0.50095,-0.53567,-0.57147,-0.60409,-0.62993,-0.65727,-0.68308,-0.70991,-0.73482,-0.7580899999999999,-0.7834399999999999,-0.80979,-0.83495,-0.8627100000000001,-0.89028,-0.91784,-0.9483799999999999,-0.9766299999999999,-1.0044,-1.0304,-1.0561,-1.0774,-1.0935,-1.1022,-1.1039,-1.0922,-1.0619,-1.0133,-0.94185,-0.8446600000000001,-0.7335,-0.60726,-0.47526,-0.35754,-0.25956,-0.17981,-0.1188,-0.075459,-0.048594,-0.026606,-0.017765,-0.0087771
R/Ohm,0.2921,0.17106,0.081388,-0.024156,-0.10870999999999999,-0.1781,-0.24131,-0.29898,-0.3544,-0.40756,-0.45114,-0.49526000000000003,-0.53272,-0.5677,-0.60132,-0.62898,-0.65809,-0.68515,-0.71107,-0.737,-0.76313,-0.7895800000000001,-0.81604,-0.84344,-0.8737299999999999,-0.9010799999999999,-0.93156,-0.96221,-0.99351,-1.025,-1.0575,-1.0889,-1.1185,-1.1477,-1.1682,-1.1895,-1.1979,-1.1934,-1.1782,-1.1404,-1.0759,-0.98651,-0.86415,-0.7191,-0.56447,-0.42081999999999997,-0.29662,-0.19879000000000002,-0.13339,-0.082947,-0.048941000000000005,-0.024932,-0.01384
R/Ohm,0.41301000000000004,0.25,0.11839000000000001,0.013328,-0.093564,-0.18544000000000002,-0.25433,-0.31346999999999997,-0.38868,-0.45741000000000004,-0.5058199999999999,-0.55658,-0.61124,-0.6558,-0.70272,-0.74058,-0.77756,-0.81084,-0.8478399999999999,-0.87965,-0.91181,-0.9435600000000001,-0.97664,-1.0089,-1.0478,-1.084,-1.1243,-1.1645,-1.2075,-1.2512,-1.296,-1.3435,-1.3949,-1.4476,-1.4988,-1.5546,-1.6044,-1.6545,-1.7038,-1.7394,-1.758,-1.7512,-1.6896,-1.5718,-1.3923,-1.1374,-0.86103,-0.59713,-0.40116,-0.26200999999999997,-0.16418,-0.082278,-0.057301
