,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
impedance,5.2382,5.2547,5.2974,5.3314,5.3619,5.4107,5.4659,5.5159,5.5782,5.6518,5.7351,5.8155,5.9105,6.0159,6.1107,6.2221,6.3336,6.4505,6.5733,6.696,6.8309,6.9665,7.0968,7.2351,7.3787,7.5279,7.6815,7.8417,8.0073,8.1777,8.3539,8.5377,8.7296,8.9303,9.141,9.3587,9.5801,9.8353,10.121,10.445,10.815,11.192,11.695,12.23,12.788,13.309000000000001,13.747,14.094000000000001,14.375,14.578,14.818,14.492,14.761
impedance,4.0559,5.2513,5.2777,5.3355,5.3904,5.4243,5.4797,5.5917,5.6222,5.7015,5.7884,5.8772,5.9819,6.0893,6.1981,6.3194,6.4394,6.5695,6.6961,6.7909,6.9346,7.0733,7.221,7.4252,7.598,7.7818,7.9406,8.0837,8.272,8.4235,8.5917,8.8007,8.9999,9.2063,9.4376,9.6689,9.8511,10.191,10.432,10.790999999999999,11.175,11.626,12.140999999999998,12.709000000000001,13.318,13.890999999999998,14.344000000000001,14.59,14.607999999999999,14.620999999999999,14.901,15.220999999999998,14.809000000000001
impedance,5.2264,5.2448,5.2853,5.3102,5.3471,5.4003,5.449,5.5143,5.5746,5.6464,5.7327,5.825,5.9261,6.0297,6.1452,6.2666,6.3908,6.5154,6.642,6.7906,6.9275,7.0754,7.2153,7.3545,7.5132,7.679,7.8413,8.0023,8.1652,8.3542,8.5493,8.7354,8.9445,9.1634,9.3792,9.603,9.8659,10.112,10.376,10.703,11.064,11.455,11.870999999999999,12.297,12.71,13.038,13.242,13.325999999999999,13.324000000000002,13.287,13.38,13.764000000000001,13.347000000000001
impedance,5.1349,5.1624,5.1803,5.2219,5.2668,5.3108,5.3609,5.4234,5.485,5.5563,5.6158,5.6989,5.7874,5.891,5.995,6.1055,6.2154,6.3232,6.4352,6.5543,6.676,6.8041,6.9342,7.0667,7.2025,7.346,7.4924,7.6466,7.8068,7.9704,8.1416,8.3212,8.5098,8.7041,8.9124,9.1327,9.3656,9.6223,9.9017,10.199,10.519,10.869000000000002,11.255,11.642999999999999,11.999,12.309000000000001,12.526,12.687999999999999,12.824000000000002,13.027000000000001,13.179,12.892999999999999,13.100999999999999
impedance,5.2587,5.3145,5.3174,5.3584,5.416,5.4501,5.5012,5.5844,5.6229,5.7029,5.7866,5.8745,5.9708,6.081,6.1968,6.3094,6.4326,6.5523,6.6788,6.8103,6.949,7.0805,7.2281,7.3771,7.5267,7.675,7.8409,8.0107,8.1785,8.3486,8.5254,8.735,8.9204,9.1225,9.3345,9.5642,9.8126,10.112,10.388,10.720999999999998,11.115,11.565,12.085999999999999,12.648,13.239,13.81,14.272,14.585,14.754000000000001,14.800999999999998,15.067,15.225,14.75
impedance,5.0874,5.114,5.1432,5.1695,5.2091,5.2481,5.3046,5.3666,5.43,5.5021,5.5909,5.6873,5.7875,5.8883,6.0006,6.1103,6.2309,6.3527,6.4791,6.6037,6.7365,6.8888,7.0345,7.1716,7.3197,7.4715,7.6234,7.7851,7.9519,8.1163,8.2952,8.4822,8.6748,8.8674,9.0713,9.2833,9.4853,9.716,9.9853,10.264000000000001,10.568,10.879000000000001,11.17,11.415999999999999,11.654000000000002,11.769,11.817,11.757,11.821,11.805,12.050999999999998,12.088,11.984000000000002
impedance,4.5495,4.5662,4.5862,4.6105,4.643,4.6824,4.7261,4.7758,4.8337,4.8992,4.9707,5.0469,5.1301,5.2151,5.3035,5.3971,5.4906,5.5867,5.6876,5.7897,5.8954,6.0032,6.1136,6.2314,6.3514,6.4772,6.6086,6.7522,6.8924,7.037,7.1885,7.3478,7.5128,7.6842,7.8632,8.0455,8.2325,8.4331,8.637,8.8361,9.0263,9.1894,9.3319,9.4329,9.5235,9.5909,9.6385,9.6808,9.7438,9.8108,9.7078,9.5541,9.7961
impedance,4.5399,4.5542,4.5815,4.6063,4.6399,4.679,4.7216,4.772,4.8257,4.8858,4.9547,5.0295,5.1056,5.1903,5.2773,5.3694,5.4629,5.5588,5.6576,5.7594,5.8628,5.9725,6.0863,6.204,6.3241,6.4468,6.575,6.7156,6.8552,7.0032,7.1579,7.3175,7.4844,7.6585,7.8394,8.0306,8.22,8.4365,8.668,8.9109,9.152,9.3776,9.5821,9.7581,9.8889,9.9765,10.037,10.161,10.238999999999999,10.370999999999999,10.308,10.148,10.53
impedance,5.2347,5.2575,5.286,5.3096,5.3461,5.3862,5.4369,5.4975,5.556,5.6235,5.7084,5.7904,5.8846,5.9854,6.0938,6.2126,6.3333,6.4594,6.5852,6.7196,6.8507,6.987,7.1322,7.2822,7.4234,7.5752,7.7314,7.8885,8.0524,8.2227,8.3996,8.5825,8.7738,8.9738,9.1835,9.4063,9.639,9.9001,10.186,10.495,10.843,11.224,11.597999999999999,12.015,12.449000000000002,12.761,13.001,13.144,13.369000000000002,13.635,13.87,13.489,13.630999999999998
impedance,5.051,5.0808,5.0989,5.1327,5.1862,5.2114,5.2709,5.3234,5.4038,5.4724,5.5768,5.6617,5.7572,5.8666,5.9686,6.0775,6.1908,6.315,6.4331,6.5521,6.6806,6.8137,6.9492,7.0959,7.2341,7.3842,7.5389,7.705,7.8762,8.053,8.2353,8.4228,8.6163,8.8148,9.0306,9.2523,9.4669,9.7184,9.9975,10.269,10.568,10.873,11.19,11.434000000000001,11.648,11.802,11.88,11.95,11.968,12.095,12.356,12.196,11.991
